NRO_COMERCIO;NRO_TERMINAL;FECHA_VIAJE;MARCA_TARJETA;NRO_LOTE;NRO_CUPON;IMPORTE_CUPON;TIPO_MOVIMIENTO
30605659981;15186946;05/02/2018;VISA;373;1491;858;VENTA
30605659981;15186946;05/02/2018;VISA;373;1492;780;VENTA
30605659981;15186946;05/02/2018;VISA;374;1493;858;VENTA
30605659981;15186946;05/02/2018;VISA;374;1495;380;VENTA
30605659981;15186946;05/02/2018;VISA;375;1497;780;VENTA
30605659981;15186946;05/02/2018;VISA;375;1498;780;VENTA
30605659981;15186946;05/02/2018;VISA;375;1499;920;VENTA
30605659981;15186946;05/02/2018;VISA;375;1500;780;VENTA
30605659981;15186946;05/02/2018;VISA;376;1501;780;VENTA
30605659981;15186946;05/02/2018;VISA;377;1503;858;VENTA
30605659981;15186946;05/02/2018;VISA;467;5690;869;VENTA
30605659981;15186946;05/02/2018;VISA;467;5694;495;VENTA
30605659981;15186946;05/02/2018;VISA;467;5695;858;VENTA
30605659981;15186946;05/02/2018;VISA;467;5696;869;VENTA
30605659981;15186946;05/02/2018;VISA;468;5699;858;VENTA
30605659981;15186946;05/02/2018;VISA;468;5700;869;VENTA
30605659981;15186946;05/02/2018;VISA;468;5701;858;VENTA
30605659981;15186946;05/02/2018;VISA;468;5702;858;VENTA
30605659981;15186946;05/02/2018;VISA;469;5703;858;VENTA
30605659981;15186946;05/02/2018;VISA;469;5704;935;VENTA
30605659981;15186946;05/02/2018;VISA;469;5705;825;VENTA
30605659981;15186946;05/02/2018;VISA;469;5706;1089;VENTA
30605659981;15186946;05/02/2018;VISA;469;5707;858;VENTA
30605659981;15186946;05/02/2018;VISA;469;5708;891;VENTA
30605659981;15186946;05/02/2018;VISA;469;5713;858;VENTA
30605659981;15186946;05/02/2018;VISA;469;5716;1188;VENTA
30605659981;15186946;05/02/2018;VISA;469;5719;858;VENTA
30605659981;15186946;05/02/2018;VISA;470;5727;858;VENTA
30605659981;15186946;05/02/2018;VISA;471;5737;858;VENTA
30605659981;15186946;05/02/2018;VISA;471;5739;1320;VENTA
30605659981;15186946;05/02/2018;VISA;471;5742;858;VENTA
30605659981;15186946;05/02/2018;VISA;471;5743;858;VENTA
30605659981;15186946;05/02/2018;VISA;472;5746;858;VENTA
30605659981;15186946;05/02/2018;VISA;472;5749;1012;VENTA
30605659981;15186946;05/02/2018;VISA;472;5750;858;VENTA
30605659981;15186946;05/02/2018;VISA;472;5754;1012;VENTA
30605659981;15186946;05/02/2018;VISA;472;5757;858;VENTA
30605659981;15186946;05/02/2018;VISA;472;5758;891;VENTA
30605659981;15186946;05/02/2018;VISA;472;5764;1628;VENTA
30605659981;15186946;05/02/2018;VISA;472;5768;440;VENTA
30605659981;15186946;05/02/2018;VISA;473;5771;858;VENTA
30605659981;15186946;05/02/2018;VISA;474;5775;1012;VENTA
30605659981;15186946;05/02/2018;VISA;474;5776;1238;VENTA
30605659981;15186946;05/02/2018;VISA;475;5786;759;VENTA
30605659981;15186946;06/02/2018;VISA;0;134;8089;VENTA
30605659981;15186946;06/02/2018;VISA;0;1505;891;VENTA
30605659981;15186946;06/02/2018;VISA;0;1508;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;1510;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5802;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5804;1364;VENTA
30605659981;15186946;06/02/2018;VISA;0;5805;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5806;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5809;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5810;902;VENTA
30605659981;15186946;06/02/2018;VISA;0;5812;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5813;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5814;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5815;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5816;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5817;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5818;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5822;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5823;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5824;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5827;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5828;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5830;891;VENTA
30605659981;15186946;06/02/2018;VISA;0;5831;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5832;1012;VENTA
30605659981;15186946;06/02/2018;VISA;0;5833;891;VENTA
30605659981;15186946;06/02/2018;VISA;0;5834;858;VENTA
30605659981;15186946;06/02/2018;VISA;0;5835;858;VENTA
30605659981;15186946;06/02/2018;VISA;378;1506;850;VENTA
30605659981;15186946;06/02/2018;VISA;378;1507;780;VENTA
30605659981;15186946;06/02/2018;VISA;378;1509;780;VENTA
30605659981;15186946;06/02/2018;VISA;476;5803;858;VENTA
30605659981;15186946;06/02/2018;VISA;476;5807;1034;VENTA
30605659981;15186946;06/02/2018;VISA;476;5808;880;VENTA
30605659981;15186946;06/02/2018;VISA;478;5811;858;VENTA
30605659981;15186946;06/02/2018;VISA;479;5819;913;VENTA
30605659981;15186946;06/02/2018;VISA;479;5825;858;VENTA
